,race,subrace,section,content
40,genasi,Earth Genasi,Mingle with the Wind,"You can cast the Levitate spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
41,genasi,Earth Genasi,Earth Walk,You can move across difficult terrain made of earth or stone without expending extra movement.
42,genasi,Earth Genasi,Merge With Stone,"You can cast the Pass Without Trace spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
43,genasi,Fire Genasi,Ability Score Increase,Your Constitution score increases by 2.
44,genasi,Fire Genasi,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
45,genasi,Fire Genasi,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
46,genasi,Fire Genasi,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium."
47,genasi,Fire Genasi,Speed,Your base walking speed is 30 feet.
48,genasi,Fire Genasi,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants."
49,genasi,Fire Genasi,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
50,genasi,Fire Genasi,Ability Score Improvement,Your Intelligence score increases by 1.
51,genasi,Fire Genasi,Unending Breath,You can hold your breath indefinitely while you're not incapacitated.
52,genasi,Fire Genasi,Mingle with the Wind,"You can cast the Levitate spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
53,genasi,Fire Genasi,Earth Walk,You can move across difficult terrain made of earth or stone without expending extra movement.
54,genasi,Fire Genasi,Merge With Stone,"You can cast the Pass Without Trace spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
55,genasi,Fire Genasi,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. Your ties to the Elemental Plane of Fire make your darkvision unusual: everything you see in darkness is in a shade of red."
56,genasi,Fire Genasi,Fire Resistance,You have resistance to fire damage.
57,genasi,Fire Genasi,Reach to the Blaze,"You know the Produce Flame cantrip. Once you reach 3rd level, you can cast the Burning Hands spell once with this trait as a 1st-level spell, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for these spells."
58,genasi,Water Genasi,Ability Score Increase,Your Constitution score increases by 2.
59,genasi,Water Genasi,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
60,genasi,Water Genasi,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
61,genasi,Water Genasi,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium."
62,genasi,Water Genasi,Speed,Your base walking speed is 30 feet.
63,genasi,Water Genasi,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants."
64,genasi,Water Genasi,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
65,genasi,Water Genasi,Ability Score Improvement,Your Wisdom score increases by 1.
66,genasi,Water Genasi,Unending Breath,You can hold your breath indefinitely while you're not incapacitated.
67,genasi,Water Genasi,Mingle with the Wind,"You can cast the Levitate spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
68,genasi,Water Genasi,Earth Walk,You can move across difficult terrain made of earth or stone without expending extra movement.
69,genasi,Water Genasi,Merge With Stone,"You can cast the Pass Without Trace spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
70,genasi,Water Genasi,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. Your ties to the Elemental Plane of Fire make your darkvision unusual: everything you see in darkness is in a shade of red."
71,genasi,Water Genasi,Fire Resistance,You have resistance to fire damage.
72,genasi,Water Genasi,Reach to the Blaze,"You know the Produce Flame cantrip. Once you reach 3rd level, you can cast the Burning Hands spell once with this trait as a 1st-level spell, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for these spells."
73,genasi,Water Genasi,Acid Resistance,You have resistance to acid damage.
74,genasi,Water Genasi,Amphibious,You can breathe air and water.
75,genasi,Water Genasi,Swim,You have a swimming speed of 30 feet.
76,genasi,Water Genasi,Call to the Wave,"You know the Shape Water cantrip. Once you reach 3rd level, you can cast the Create or Destroy Water spell once with this trait as a 2nd-level spell, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for these spells."
77,genasi,Genasi (Air) MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
78,genasi,Genasi (Air) MPMM,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
79,genasi,Genasi (Air) MPMM,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
80,genasi,Genasi (Air) MPMM,Size,You are Medium or Small. You choose the size when you select this race.
81,genasi,Genasi (Air) MPMM,Speed,35 ft.
82,genasi,Genasi (Air) MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
83,genasi,Genasi (Air) MPMM,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
84,genasi,Genasi (Air) MPMM,Ability Score Improvement,Your Wisdom score increases by 1.
85,genasi,Genasi (Air) MPMM,Unending Breath,You can hold your breath indefinitely while you're not incapacitated.
86,genasi,Genasi (Air) MPMM,Mingle with the Wind,"You know the Shocking Grasp cantrip. Starting at 3rd level, you can cast the Feather Fall spell with this trait, without requiring a material component. Starting 5th level, you can also cast the Levitate spell with this trait, without requiring a material component. Once you cast Feather Fall or Levitate with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level."
87,genasi,Genasi (Air) MPMM,Earth Walk,You can move across difficult terrain made of earth or stone without expending extra movement.
88,genasi,Genasi (Air) MPMM,Merge With Stone,"You can cast the Pass Without Trace spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
89,genasi,Genasi (Air) MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.
90,genasi,Genasi (Air) MPMM,Fire Resistance,You have resistance to fire damage.
91,genasi,Genasi (Air) MPMM,Reach to the Blaze,"You know the Produce Flame cantrip. Once you reach 3rd level, you can cast the Burning Hands spell once with this trait as a 1st-level spell, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for these spells."
92,genasi,Genasi (Air) MPMM,Acid Resistance,You have resistance to acid damage.
93,genasi,Genasi (Air) MPMM,Amphibious,You can breathe air and water.
94,genasi,Genasi (Air) MPMM,Swim,You have a swimming speed of 30 feet.
95,genasi,Genasi (Air) MPMM,Call to the Wave,"You know the Shape Water cantrip. Once you reach 3rd level, you can cast the Create or Destroy Water spell once with this trait as a 2nd-level spell, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for these spells."
96,genasi,Genasi (Air) MPMM,Lightning Resistance,You have resistance to lightning damage.
97,genasi,Genasi (Earth) MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
98,genasi,Genasi (Earth) MPMM,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
99,genasi,Genasi (Earth) MPMM,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
100,genasi,Genasi (Earth) MPMM,Size,Small/Medium
101,genasi,Genasi (Earth) MPMM,Speed,30 ft.
102,genasi,Genasi (Earth) MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
103,genasi,Genasi (Earth) MPMM,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
104,genasi,Genasi (Earth) MPMM,Ability Score Improvement,Your Wisdom score increases by 1.
105,genasi,Genasi (Earth) MPMM,Unending Breath,You can hold your breath indefinitely while you're not incapacitated.
106,genasi,Genasi (Earth) MPMM,Mingle with the Wind,"You know the Shocking Grasp cantrip. Starting at 3rd level, you can cast the Feather Fall spell with this trait, without requiring a material component. Starting 5th level, you can also cast the Levitate spell with this trait, without requiring a material component. Once you cast Feather Fall or Levitate with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level."
107,genasi,Genasi (Earth) MPMM,Earth Walk,You can move across difficult terrain without expending extra movement if you are using your walking speed on the ground or a floor.
108,genasi,Genasi (Earth) MPMM,Merge With Stone,"You can cast the Pass Without Trace spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
109,genasi,Genasi (Earth) MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.
110,genasi,Genasi (Earth) MPMM,Fire Resistance,You have resistance to fire damage.
111,genasi,Genasi (Earth) MPMM,Reach to the Blaze,"You know the Produce Flame cantrip. Once you reach 3rd level, you can cast the Burning Hands spell once with this trait as a 1st-level spell, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for these spells."
112,genasi,Genasi (Earth) MPMM,Acid Resistance,You have resistance to acid damage.
113,genasi,Genasi (Earth) MPMM,Amphibious,You can breathe air and water.
114,genasi,Genasi (Earth) MPMM,Swim,You have a swimming speed of 30 feet.
115,genasi,Genasi (Earth) MPMM,Call to the Wave,"You know the Shape Water cantrip. Once you reach 3rd level, you can cast the Create or Destroy Water spell once with this trait as a 2nd-level spell, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for these spells."
116,genasi,Genasi (Earth) MPMM,Lightning Resistance,You have resistance to lightning damage.
117,genasi,Genasi (Earth) MPMM,Merge with Stone,"You know the Blade Ward cantrip. You can cast it as normal, and you can also cast it as a bonus action a number of times equal to your proficiency bonus, regaining all expended uses when you finish a long rest."
118,genasi,Genasi (Fire) MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
119,genasi,Genasi (Fire) MPMM,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
120,genasi,Genasi (Fire) MPMM,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
121,genasi,Genasi (Fire) MPMM,Size,Small/Medium
122,genasi,Genasi (Fire) MPMM,Speed,30 ft.
123,genasi,Genasi (Fire) MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
124,genasi,Genasi (Fire) MPMM,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
125,genasi,Genasi (Fire) MPMM,Ability Score Improvement,Your Wisdom score increases by 1.
126,genasi,Genasi (Fire) MPMM,Unending Breath,You can hold your breath indefinitely while you're not incapacitated.
127,genasi,Genasi (Fire) MPMM,Mingle with the Wind,"You know the Shocking Grasp cantrip. Starting at 3rd level, you can cast the Feather Fall spell with this trait, without requiring a material component. Starting 5th level, you can also cast the Levitate spell with this trait, without requiring a material component. Once you cast Feather Fall or Levitate with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level."
128,genasi,Genasi (Fire) MPMM,Earth Walk,You can move across difficult terrain without expending extra movement if you are using your walking speed on the ground or a floor.
129,genasi,Genasi (Fire) MPMM,Merge With Stone,"You can cast the Pass Without Trace spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
130,genasi,Genasi (Fire) MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.
131,genasi,Genasi (Fire) MPMM,Fire Resistance,You have resistance to fire damage.
132,genasi,Genasi (Fire) MPMM,Reach to the Blaze,"You know the Produce Flame cantrip. Starting at 3rd level, you can cast the Burning Hands spell with this trait. Starting at 5th level, you can also cast the Flame Blade spell with this trait, without a material component. Once you cast Burning Hands or Flame Blade with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level."
133,genasi,Genasi (Fire) MPMM,Acid Resistance,You have resistance to acid damage.
134,genasi,Genasi (Fire) MPMM,Amphibious,You can breathe air and water.
135,genasi,Genasi (Fire) MPMM,Swim,You have a swimming speed of 30 feet.
136,genasi,Genasi (Fire) MPMM,Call to the Wave,"You know the Shape Water cantrip. Once you reach 3rd level, you can cast the Create or Destroy Water spell once with this trait as a 2nd-level spell, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for these spells."
137,genasi,Genasi (Fire) MPMM,Lightning Resistance,You have resistance to lightning damage.
138,genasi,Genasi (Fire) MPMM,Merge with Stone,"You know the Blade Ward cantrip. You can cast it as normal, and you can also cast it as a bonus action a number of times equal to your proficiency bonus, regaining all expended uses when you finish a long rest."
139,genasi,Genasi (Water) MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
140,genasi,Genasi (Water) MPMM,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
141,genasi,Genasi (Water) MPMM,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
142,genasi,Genasi (Water) MPMM,Size,Small/Medium
143,genasi,Genasi (Water) MPMM,Speed,"Your walking speed is 30 feet, and you have a swimming speed equal to your walking speed."
144,genasi,Genasi (Water) MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
145,genasi,Genasi (Water) MPMM,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
146,genasi,Genasi (Water) MPMM,Ability Score Improvement,Your Wisdom score increases by 1.
147,genasi,Genasi (Water) MPMM,Unending Breath,You can hold your breath indefinitely while you're not incapacitated.
148,genasi,Genasi (Water) MPMM,Mingle with the Wind,"You know the Shocking Grasp cantrip. Starting at 3rd level, you can cast the Feather Fall spell with this trait, without requiring a material component. Starting 5th level, you can also cast the Levitate spell with this trait, without requiring a material component. Once you cast Feather Fall or Levitate with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level."
149,genasi,Genasi (Water) MPMM,Earth Walk,You can move across difficult terrain without expending extra movement if you are using your walking speed on the ground or a floor.
150,genasi,Genasi (Water) MPMM,Merge With Stone,"You can cast the Pass Without Trace spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
151,genasi,Genasi (Water) MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.
152,genasi,Genasi (Water) MPMM,Fire Resistance,You have resistance to fire damage.
153,genasi,Genasi (Water) MPMM,Reach to the Blaze,"You know the Produce Flame cantrip. Starting at 3rd level, you can cast the Burning Hands spell with this trait. Starting at 5th level, you can also cast the Flame Blade spell with this trait, without a material component. Once you cast Burning Hands or Flame Blade with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level."
154,genasi,Genasi (Water) MPMM,Acid Resistance,You have resistance to acid damage.
155,genasi,Genasi (Water) MPMM,Amphibious,You breathe air and water.
156,genasi,Genasi (Water) MPMM,Swim,You have a swimming speed of 30 feet.
157,genasi,Genasi (Water) MPMM,Call to the Wave,"You know the Acid Splash cantrip. Starting at 3rd level, you can cast the Create or Destroy Water spell with this trait. Starting at 5th level, you can also cast the Water Walk spell with this trait, without requiring a material component. Once you cast Create or Destroy Water or Water Walk with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level."
158,genasi,Genasi (Water) MPMM,Lightning Resistance,You have resistance to lightning damage.
159,genasi,Genasi (Water) MPMM,Merge with Stone,"You know the Blade Ward cantrip. You can cast it as normal, and you can also cast it as a bonus action a number of times equal to your proficiency bonus, regaining all expended uses when you finish a long rest."
