,race,subrace,section,content
13,luma,Sable Luma,Alignment,"Spurred by personal interests and flights of fancy, lumas lean towards chaotic alignments. While generally good natured, those that have been spurned by society find it hard to see the benefits of altruism, but even under such circumstances lumas are rarely evil."
14,luma,Sable Luma,Size,"Lumas are the shortest and lightest of the birdfolk, standing roughly 3 feet tall and weighing only around 30 pounds. Your size is Small."
15,luma,Sable Luma,Speed,Your base walking speed is 25 feet.
16,luma,Sable Luma,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered."
17,luma,Sable Luma,Wing Flap,"As a bonus action, you can use your powerful feathered arms to propel yourself upward a distance equal to half your movement speed. You can use it in conjunction with a regular jump, but not while gliding."
18,luma,Sable Luma,Touched,You know one cantrip from the sorcerer spell list. Charisma is your spellcasting ability for this cantrip.
19,luma,Sable Luma,Fated,"Whether by luck or a guiding presence, you always seem to find your way. You can choose to reroll any attack, skill check, or saving throw. You can decide to do this after your roll, but only before the outcome of the roll has been determined. You can’t use this feature again until you have completed a long rest."
20,luma,Sable Luma,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally."
21,luma,Sable Luma,Subrace,There are two main subraces of luma: sable and sera. Choose one of these subraces.
22,luma,Sable Luma,Hard to Read,"Your innate eccentricities make it hard for other folk to figure you out. When someone performs a Wisdom (Insight) check against you, they have disadvantage on their roll. Additionally, you gain advantage on Charisma (Deception) checks made against creatures that are not lumas."
23,luma,Sable Luma,Resilience,You have advantage on saving throws against poison and resistance against poison damage.
24,luma,Sera Luma,Ability Score Increase,Your Wisdom score increases by 1.
25,luma,Sera Luma,Age,Lumas are short-lived reaching adulthood around 20 years. Few lumas live beyond 70 years.
26,luma,Sera Luma,Alignment,"Spurred by personal interests and flights of fancy, lumas lean towards chaotic alignments. While generally good natured, those that have been spurned by society find it hard to see the benefits of altruism, but even under such circumstances lumas are rarely evil."
27,luma,Sera Luma,Size,"Lumas are the shortest and lightest of the birdfolk, standing roughly 3 feet tall and weighing only around 30 pounds. Your size is Small."
28,luma,Sera Luma,Speed,Your base walking speed is 25 feet.
29,luma,Sera Luma,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered."
30,luma,Sera Luma,Wing Flap,"As a bonus action, you can use your powerful feathered arms to propel yourself upward a distance equal to half your movement speed. You can use it in conjunction with a regular jump, but not while gliding."
31,luma,Sera Luma,Touched,You know one cantrip from the sorcerer spell list. Charisma is your spellcasting ability for this cantrip.
32,luma,Sera Luma,Fated,"Whether by luck or a guiding presence, you always seem to find your way. You can choose to reroll any attack, skill check, or saving throw. You can decide to do this after your roll, but only before the outcome of the roll has been determined. You can’t use this feature again until you have completed a long rest."
33,luma,Sera Luma,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally."
34,luma,Sera Luma,Subrace,There are two main subraces of luma: sable and sera. Choose one of these subraces.
35,luma,Sera Luma,Hard to Read,"Your innate eccentricities make it hard for other folk to figure you out. When someone performs a Wisdom (Insight) check against you, they have disadvantage on their roll. Additionally, you gain advantage on Charisma (Deception) checks made against creatures that are not lumas."
36,luma,Sera Luma,Resilience,You have advantage on saving throws against poison and resistance against poison damage.
37,luma,Sera Luma,Center of Attention,You have proficiency in the Performance skill.
38,luma,Sera Luma,Songbird,"When you perform, you can demonstrate the innate and mystical power of your Charisma. You may cast the charm person spell once per long rest. This spell does not require any somatic components to cast. Charisma is your spellcasting ability for this spell."
