,race,subrace,section,content,race FR,subrace FR,section FR,content FR
22,satyr,Satyr Eccentricities,,"
d8
Characteristic


1
Flowers are the most amazing things ever. I want to pick them, wear them, and discover their silent secrets.


2
There isn't a tree or statue that isn't fun to climb.


3
Nothing wards off bad luck like a jolly dance.


4
Sometimes talking to a plant really helps.


5
If stumped, I smoke a pipe. And if I'm going to smoke a pipe, it's going to be a splendid pipe.


6
I imagine that my clothes are my glorious soul on display for all the world to behold, and I dress accordingly.


7
Having horns is the best. They are fun to decorate, and they can pop open an amphora, no problem.


8
If I have something really important to say, I always make sure to sing it.

",satyre,Les excentricités du satyre,,"d8
Caractéristique

1
Les fleurs sont les choses les plus étonnantes qui soient. Je veux les cueillir, les porter et découvrir leurs secrets silencieux.

2
Il n'y a pas d'arbre ou de statue qui ne soit pas amusant à grimper.

3
Rien ne repousse le mauvais sort comme une danse joyeuse.

4
Parfois, parler à une plante aide vraiment.

5
Si je suis perplexe, je fume une pipe. Et si je dois fumer une pipe, ce sera une pipe splendide.

6
J'imagine que mes vêtements sont mon âme glorieuse exposée aux yeux du monde entier, et je m'habille en conséquence.

7
Avoir des cornes, c'est le top. Elles sont amusantes à décorer et elles peuvent ouvrir une amphore, sans problème.

8
Si j'ai quelque chose de vraiment important à dire, je m'assure toujours de le chanter."
23,satyr,Satyr MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",satyre,Satyre MPMM,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
24,satyr,Satyr MPMM,Age,Satyrs mature and age at about the same rate as humans.,satyre,Satyre MPMM,Âge,Les satyres mûrissent et vieillissent à peu près au même rythme que les humains.
25,satyr,Satyr MPMM,Alignment,"Satyrs delight in living a life free of the mantle of law. They gravitate toward being good, but some have devious streaks and enjoy causing dismay.",satyre,Satyre MPMM,Alignement,"Les satyres aiment vivre une vie libre de toute contrainte légale. Ils aspirent à être bons, mais certains ont des tendances sournoises et aiment semer la consternation."
26,satyr,Satyr MPMM,Size,Medium,satyre,Satyre MPMM,Taille,Moyen
27,satyr,Satyr MPMM,Speed,35 ft.,satyre,Satyre MPMM,Vitesse,35 pi.
28,satyr,Satyr MPMM,Fey,"Your creature type is fey, rather than humanoid.",satyre,Satyre MPMM,Fée,Votre type de créature est féerique plutôt qu'humanoïde.
29,satyr,Satyr MPMM,Ram,"You can use your head and horns to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier bludgeoning damage, instead of the bludgeoning damage normal for an unarmed strike.",satyre,Satyre MPMM,Bélier,"Vous pouvez utiliser votre tête et vos cornes pour effectuer des attaques à mains nues. Lorsque vous frappez avec elles, l'attaque inflige 1d6 + votre modificateur de Force de dégâts contondants, au lieu des dégâts contondants normaux pour une attaque à mains nues."
30,satyr,Satyr MPMM,Magic Resistance,You have advantage on saving throws against spells.,satyre,Satyre MPMM,Résistance magique,Vous avez un avantage sur les jets de sauvegarde contre les sorts.
31,satyr,Satyr MPMM,Mirthful Leaps,"Whenever you make a long jump or a high jump, you can roll a d8 and add the number rolled to the number of feet you cover, even when making a standing jump. This extra distance costs movement as usual.",satyre,Satyre MPMM,Des sauts joyeux,"À chaque fois que vous faites un saut en longueur ou en hauteur, vous pouvez lancer un d8 et ajouter le nombre obtenu au nombre de pieds que vous parcourez, même lorsque vous faites un saut sans élan. Cette distance supplémentaire coûte du mouvement comme d'habitude."
32,satyr,Satyr MPMM,Reveler,"As an embodiment of revelry, you have proficiency in the Performance and Persuasion skills, and you have proficiency with one musical instrument of your choice.",satyre,Satyre MPMM,Fêtard,"En tant qu'incarnation de la fête, vous maîtrisez les compétences de performance et de persuasion, et vous maîtrisez un instrument de musique de votre choix."
33,satyr,Satyr MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",satyre,Satyre MPMM,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage."
34,satyr,Satyr MPMM,,"
d8
Characteristic


1
Flowers are the most amazing things ever. I want to pick them, wear them, and discover their silent secrets.


2
There isn't a tree or statue that isn't fun to climb.


3
Nothing wards off bad luck like a jolly dance.


4
Sometimes talking to a plant really helps.


5
If stumped, I smoke a pipe. And if I'm going to smoke a pipe, it's going to be a splendid pipe.


6
I imagine that my clothes are my glorious soul on display for all the world to behold, and I dress accordingly.


7
Having horns is the best. They are fun to decorate, and they can pop open an amphora, no problem.


8
If I have something really important to say, I always make sure to sing it.

",satyre,Satyre MPMM,,"d8
Caractéristique

1
Les fleurs sont les choses les plus étonnantes qui soient. Je veux les cueillir, les porter et découvrir leurs secrets silencieux.

2
Il n'y a pas d'arbre ou de statue qui ne soit pas amusant à grimper.

3
Rien ne repousse le mauvais sort comme une danse joyeuse.

4
Parfois, parler à une plante aide vraiment.

5
Si je suis perplexe, je fume une pipe. Et si je dois fumer une pipe, ce sera une pipe splendide.

6
J'imagine que mes vêtements sont mon âme glorieuse exposée aux yeux du monde entier, et je m'habille en conséquence.

7
Avoir des cornes, c'est le top. Elles sont amusantes à décorer et elles peuvent ouvrir une amphore, sans problème.

8
Si j'ai quelque chose de vraiment important à dire, je m'assure toujours de le chanter."
35,satyr,Satyr MPMM,Creature Type,You are a Fey.,satyre,Satyre MPMM,Type de créature,Tu es une fée.
